ID,ชนิด,รหัสสินค้า,ชื่อ,เผยแพร่แล้ว,เป็นรายการเด่นหรือไม่,การมองเห็นในแค็ตตาล็อก,คำอธิบายแบบย่อ,รายละเอียด,วันเริ่มต้นลดราคา,วันสิ้นสุดการลดราคา,สถานะภาษี,กลุ่มภาษี,มีสินค้าในคลังสินค้า?,คลังสินค้า,สินค้าคงคลังเหลือน้อย,อนุญาตให้จองสินค้าหรือไม่,"จำกัดการขายแค่ 1 ชิ้นหรือไม่?","น้ำหนัก (กก.)","ยาว (มิลลิเมตร)","กว้าง (มิลลิเมตร)","สูง (มิลลิเมตร)",เปิดให้ผู้ใช้รีวิวสินค้า?,บันทึกในการสั่งซื้อ,ราคาที่ลด,ราคาปกติ,หมวดหมู่,ป้ายกำกับ,ประเภทการจัดส่ง,ไฟล์รูปภาพ,ลิมิตจำนวนดาวน์โหลด,วันหมดอายุดาวน์โหลด,หลัก,สินค้ากลุ่ม,Up-sells,Cross-sells,"URL ภายนอก",ข้อความของปุ่ม,ตำแหน่ง,"ชื่อคุณสมบัติ 1","ค่าคุณสมบัติ 1 ","คุณสมบัติภายนอกที่เห็นได้ 1","คุณสมบัติทั่วไป 1","Meta : _wp_page_template","Meta : woodmart_sguide_select","Meta : _woodmart_whb_header","Meta : _woodmart_product_design","Meta : _woodmart_single_product_style","Meta : _woodmart_thums_position","Meta : _woodmart_extra_position","Meta : _woodmart_main_layout","Meta : _woodmart_sidebar_width","Meta : _woodmart_custom_sidebar","Meta : product_table","Meta : eng_name","Meta : BT Type","Meta : MTA Type","Meta : L","Meta : C","Meta : Morse Taper","Meta : Inside MT","Meta : Outside MT","Meta : Clamping Range","Meta : D","Meta : NT Type","Meta : JT Type","Meta : H","Meta : Drawbar Thread","Meta : type","Meta : brand","Meta : model","Meta : Shank","Meta : Drill Chuck Type","Meta : Capacity","Meta : Taper Mount","Meta : _yoast_wpseo_title","Meta : _yoast_wpseo_metadesc","Meta : _yoast_wpseo_estimated-reading-time-minutes","Meta : _yoast_wpseo_wordproof_timestamp","Meta : woodmart_price_unit_of_measure","Meta : woodmart_total_stock_quantity","Meta : _max_price_for_range","Meta : _max_sale_price_for_range","Meta : _product_360_image_gallery","Meta : _woodmart_new_label","Meta : _woodmart_new_label_date","Meta : _woodmart_swatches_attribute","Meta : _woodmart_related_off","Meta : _woodmart_exclude_show_single_variation","Meta : _woodmart_product_video","Meta : _woodmart_product_hashtag","Meta : _woodmart_extra_content","Meta : _woodmart_product-background","Meta : _woodmart_hide_tabs_titles","Meta : _woodmart_product_custom_tab_title","Meta : _woodmart_product_custom_tab_content_type","Meta : _woodmart_product_custom_tab_content","Meta : _woodmart_product_custom_tab_html_block","Meta : _woodmart_product_custom_tab_title_2","Meta : _woodmart_product_custom_tab_content_type_2","Meta : _woodmart_product_custom_tab_content_2","Meta : _woodmart_product_custom_tab_html_block_2","Meta : _yoast_wpseo_primary_product_cat"
51043,simple,07BT30-APU13-100,"BT Drill Chuck BT30 1-13mm",1,0,visible,"หัวจับสว่านด้าม BT รุ่น APU หัวจับสว่านติดกับด้าม BT เป็นชิ้นเดียว สำหรับงานหนัก และ การเปิดความเร็วรอบสูง\n",,,,taxable,,0,,,0,0,0.0,,,,1,,,5300.0,"อุปกรณ์จับทูล > หัวจับดอกสว่าน, อุปกรณ์จับทูล","DG02, hide",,,,,,,,,,,0,Brand,"Ann Way",1,1,default,none,none,inherit,inherit,inherit,after,default,default,none,1,"BT Drill Chuck",,,104.5,,,,,Ø1-13,51.5,,,,,,"Ann Way","APU, 07BT",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51044,simple,07BT40-APU16-130,"BT Drill Chuck BT40 3-16mm",1,0,visible,"หัวจับสว่านด้าม BT รุ่น APU หัวจับสว่านติดกับด้าม BT เป็นชิ้นเดียว สำหรับงานหนัก และ การเปิดความเร็วรอบสูง\n",,,,taxable,,0,,,0,0,0.0,,,,1,,,5700.0,"อุปกรณ์จับทูล > หัวจับดอกสว่าน, อุปกรณ์จับทูล","DG02, hide",,,,,,,,,,,0,Brand,"Ann Way",1,1,default,none,none,inherit,inherit,inherit,after,default,default,none,2,"BT Drill Chuck",,,130,,,,,Ø3-16,58,,,,,,"Ann Way","APU, 07BT",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51045,simple,07BT50-APU13-120,"BT Drill Chuck BT50 1-13mm",1,0,visible,"หัวจับสว่านด้าม BT รุ่น APU หัวจับสว่านติดกับด้าม BT เป็นชิ้นเดียว สำหรับงานหนัก และ การเปิดความเร็วรอบสูง\n",,,,taxable,,0,,,0,0,0.0,,,,1,,,9700.0,"อุปกรณ์จับทูล > หัวจับดอกสว่าน, อุปกรณ์จับทูล","DG02, hide",,,,,,,,,,,0,Brand,"Ann Way",1,1,default,none,none,inherit,inherit,inherit,after,default,default,none,3,"BT Drill Chuck",,,120,,,,,Ø1-13,51.5,,,,,,"Ann Way","APU, 07BT",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51046,simple,07BT50-JTA6-45,"Drill Chuck Holder BT50 JT6 L45",1,0,visible,"ด้าม BT ต่อหัวจับสว่าน สำหรับหัวจับสว่านอแด็ปเตอร์ JT, สำหรับต่อเข้ากับเทเปอร์เครื่องรุ่น BT30 , BT40 , BT50\n",,,,taxable,,0,,,0,0,0.0,,,,1,,,4900.0,"อุปกรณ์จับทูล > หัวจับดอกสว่าน, อุปกรณ์จับทูล","DG02, hide",,,,,,,,,,,0,Brand,"Ann Way",1,1,default,none,none,inherit,inherit,inherit,after,default,default,none,1,"BT Drill Chuck Holder",BT50,,45,,,,,,30,,JT6,4,,,"Ann Way",07BT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51047,simple,07C20-JT2,"Drill Chuck Holder C20 JT2",1,0,visible,"ด้ามต่อหัวจับสว่าน สำหรับหัวจับสว่านรุ่น JT (Jacob Taper) สามารถเลือกด้ามได้ 3 รุ่น ได้แก่ ด้าม MT, ด้ามตรง, ด้าม R8.\n",,,,taxable,,0,,,0,0,0.0,,,,1,,,420.0,"อุปกรณ์จับทูล > หัวจับดอกสว่าน, อุปกรณ์จับทูล","DG02, hide",,,,,,,,,,,0,Brand,SRT,1,1,default,none,none,inherit,inherit,inherit,after,default,default,none,5,"Drill Chuck Holder",,,,,,,,,,,,,,Straight,SRT,"07MTA, 07C20, 07R8",Ø20,JT2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51048,simple,07MTA2-JT6,"Drill Chuck Holder MTA2 x JT6",1,0,visible,"ด้ามต่อหัวจับสว่าน สำหรับหัวจับสว่านรุ่น JT (Jacob Taper) สามารถเลือกด้ามได้ 3 รุ่น ได้แก่ ด้าม MT, ด้ามตรง, ด้าม R8.\n",,,,taxable,,0,,,0,0,0.0,,,,1,,,215.0,"อุปกรณ์จับทูล > หัวจับดอกสว่าน, อุปกรณ์จับทูล","DG02, hide",,,,,,,,,,,0,Brand,SRT,1,1,default,none,none,inherit,inherit,inherit,after,default,default,none,1,"Drill Chuck Holder",,,,,,,,,,,,,,"Morse Taper",SRT,"07MTA, 07C20, 07R8",MTA2,JT6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51049,simple,07MTA3-JT6,"Drill Chuck Holder MTA3 x JT6",1,0,visible,"ด้ามต่อหัวจับสว่าน สำหรับหัวจับสว่านรุ่น JT (Jacob Taper) สามารถเลือกด้ามได้ 3 รุ่น ได้แก่ ด้าม MT, ด้ามตรง, ด้าม R8.\n",,,,taxable,,0,,,0,0,0.0,,,,1,,,295.0,"อุปกรณ์จับทูล > หัวจับดอกสว่าน, อุปกรณ์จับทูล","DG02, hide",,,,,,,,,,,0,Brand,SRT,1,1,default,none,none,inherit,inherit,inherit,after,default,default,none,2,"Drill Chuck Holder",,,,,,,,,,,,,,"Morse Taper",SRT,"07MTA, 07C20, 07R8",MTA3,JT6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51050,simple,07MTA4-JT6,"Drill Chuck Holder MTA4 x JT6",1,0,visible,"ด้ามต่อหัวจับสว่าน สำหรับหัวจับสว่านรุ่น JT (Jacob Taper) สามารถเลือกด้ามได้ 3 รุ่น ได้แก่ ด้าม MT, ด้ามตรง, ด้าม R8.\n",,,,taxable,,0,,,0,0,0.0,,,,1,,,549.0,"อุปกรณ์จับทูล > หัวจับดอกสว่าน, อุปกรณ์จับทูล","DG02, hide",,,,,,,,,,,0,Brand,SRT,1,1,default,none,none,inherit,inherit,inherit,after,default,default,none,3,"Drill Chuck Holder",,,,,,,,,,,,,,"Morse Taper",SRT,"07MTA, 07C20, 07R8",MTA4,JT6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51051,simple,07MTA5-JT6,"Drill Chuck Holder MTA5 x JT6",1,0,visible,"ด้ามต่อหัวจับสว่าน สำหรับหัวจับสว่านรุ่น JT (Jacob Taper) สามารถเลือกด้ามได้ 3 รุ่น ได้แก่ ด้าม MT, ด้ามตรง, ด้าม R8.\n",,,,taxable,,0,,,0,0,0.0,,,,1,,,1163.0,"อุปกรณ์จับทูล > หัวจับดอกสว่าน, อุปกรณ์จับทูล","DG02, hide",,,,,,,,,,,0,Brand,SRT,1,1,default,none,none,inherit,inherit,inherit,after,default,default,none,4,"Drill Chuck Holder",,,,,,,,,,,,,,"Morse Taper",SRT,"07MTA, 07C20, 07R8",MTA5,JT6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51052,simple,07NT40-JTA6,"Drill Chuck Holder NT40-JT6 M16",1,0,visible,"ด้าม NT ต่อหัวจับสว่าน สำหรับหัวจับสว่านอแด็ปเตอร์ JT, สำหรับต่อเข้ากับเทเปอร์เครื่องรุ่น NT30, NT40 , NT50\n",,,,taxable,,0,,,0,0,0.0,,,,1,,,2400.0,"อุปกรณ์จับทูล > หัวจับดอกสว่าน, อุปกรณ์จับทูล","DG02, hide",,,,,,,,,,,0,Brand,"Ann Way",1,1,default,none,none,inherit,inherit,inherit,after,default,default,none,1,"NT Drill Chuck Holder",,,,17.17,,,,,,NT40,JT6,26,"M16 x 2.0",,"Ann Way",07NT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
